lr,batch_size,optimizer,test_acc,best_epoch
0.0001,16,adam,1.0,1
0.0001,16,sgd,1.0,7
0.0001,32,adam,0.9919354838709677,0
0.0001,32,sgd,0.9838709677419355,6
0.0001,64,adam,1.0,4
0.0001,64,sgd,0.8629032258064516,8
0.001,16,adam,1.0,1
0.001,16,sgd,0.9919354838709677,2
0.001,32,adam,0.9919354838709677,5
0.001,32,sgd,0.9919354838709677,9
0.001,64,adam,0.9838709677419355,5
0.001,64,sgd,0.9919354838709677,2
0.0005,16,adam,0.9919354838709677,4
0.0005,16,sgd,0.9919354838709677,4
0.0005,32,adam,1.0,6
0.0005,32,sgd,0.9838709677419355,2
0.0005,64,adam,0.9919354838709677,5
0.0005,64,sgd,0.9838709677419355,9
